시군구코드,시군구,성별코드,성별,연령구간코드,연령별,시점,주민등록연앙인구(명)
0,전국,0,계,0,계,2019 년,51337423.5
0,전국,0,계,0,계,2020 년,51349259
0,전국,0,계,20,0 - 4세,2019 년,1909182.5
0,전국,0,계,20,0 - 4세,2020 년,1760637.5
0,전국,0,계,50,5 - 9세,2019 년,2323178.5
0,전국,0,계,50,5 - 9세,2020 년,2305388.5
0,전국,0,계,70,10 - 14세,2019 년,2308928.5
0,전국,0,계,70,10 - 14세,2020 년,2314984
0,전국,0,계,100,15 - 19세,2019 년,2725294.5
0,전국,0,계,100,15 - 19세,2020 년,2551012.5
0,전국,0,계,120,20 - 24세,2019 년,3353801
0,전국,0,계,120,20 - 24세,2020 년,3272265
0,전국,0,계,130,25 - 29세,2019 년,3430877
0,전국,0,계,130,25 - 29세,2020 년,3505179.5
0,전국,0,계,150,30 - 34세,2019 년,3151167
0,전국,0,계,150,30 - 34세,2020 년,3130579
0,전국,0,계,160,35 - 39세,2019 년,3960321
0,전국,0,계,160,35 - 39세,2020 년,3786437.5
0,전국,0,계,180,40 - 44세,2019 년,3857129
0,전국,0,계,180,40 - 44세,2020 년,3863754.5
0,전국,0,계,190,45 - 49세,2019 년,4478729.5
0,전국,0,계,190,45 - 49세,2020 년,4380758
0,전국,0,계,210,50 - 54세,2019 년,4258855
0,전국,0,계,210,50 - 54세,2020 년,4331294
0,전국,0,계,230,55 - 59세,2019 년,4259891.5
0,전국,0,계,230,55 - 59세,2020 년,4207585
0,전국,0,계,260,60 - 64세,2019 년,3601453
0,전국,0,계,260,60 - 64세,2020 년,3804709.5
0,전국,0,계,280,65 - 69세,2019 년,2443839.5
0,전국,0,계,280,65 - 69세,2020 년,2635592
0,전국,0,계,310,70 - 74세,2019 년,1902232
0,전국,0,계,310,70 - 74세,2020 년,2000708.5
0,전국,0,계,330,75 - 79세,2019 년,1603245.5
0,전국,0,계,330,75 - 79세,2020 년,1602662.5
0,전국,0,계,340,80세 이상,2019 년,1769298.5
0,전국,0,계,340,80세 이상,2020 년,1895711.5
0,전국,0,계,360,80 - 84세,2019 년,1056165
0,전국,0,계,360,80 - 84세,2020 년,1110911.5
0,전국,0,계,370,85세 이상,2019 년,713133.5
0,전국,0,계,370,85세 이상,2020 년,784800
0,전국,0,계,380,85 - 89세,2019 년,499619
0,전국,0,계,380,85 - 89세,2020 년,549650.5
0,전국,0,계,410,90 - 94세,2019 년,169218.5
0,전국,0,계,410,90 - 94세,2020 년,188043.5
0,전국,0,계,430,95 - 99세,2019 년,39069.5
0,전국,0,계,430,95 - 99세,2020 년,41268.5
0,전국,0,계,440,100세 이상,2019 년,5226.5
0,전국,0,계,440,100세 이상,2020 년,5837.5
0,전국,1,남자,0,계,2019 년,25609342
0,전국,1,남자,0,계,2020 년,25606080.5
0,전국,1,남자,20,0 - 4세,2019 년,979211
0,전국,1,남자,20,0 - 4세,2020 년,903178
0,전국,1,남자,50,5 - 9세,2019 년,1193014
0,전국,1,남자,50,5 - 9세,2020 년,1182550.5
0,전국,1,남자,70,10 - 14세,2019 년,1191290.5
0,전국,1,남자,70,10 - 14세,2020 년,1192976.5
0,전국,1,남자,100,15 - 19세,2019 년,1418938
0,전국,1,남자,100,15 - 19세,2020 년,1325906
0,전국,1,남자,120,20 - 24세,2019 년,1759184
0,전국,1,남자,120,20 - 24세,2020 년,1709726
0,전국,1,남자,130,25 - 29세,2019 년,1811314.5
0,전국,1,남자,130,25 - 29세,2020 년,1852731
0,전국,1,남자,150,30 - 34세,2019 년,1627594
0,전국,1,남자,150,30 - 34세,2020 년,1623891.5
0,전국,1,남자,160,35 - 39세,2019 년,2018361.5
0,전국,1,남자,160,35 - 39세,2020 년,1933535.5
0,전국,1,남자,180,40 - 44세,2019 년,1959709
0,전국,1,남자,180,40 - 44세,2020 년,1962337
0,전국,1,남자,190,45 - 49세,2019 년,2274031.5
0,전국,1,남자,190,45 - 49세,2020 년,2224690
0,전국,1,남자,210,50 - 54세,2019 년,2146978
0,전국,1,남자,210,50 - 54세,2020 년,2184220
0,전국,1,남자,230,55 - 59세,2019 년,2136895
0,전국,1,남자,230,55 - 59세,2020 년,2115455
0,전국,1,남자,260,60 - 64세,2019 년,1778062.5
0,전국,1,남자,260,60 - 64세,2020 년,1878929.5
0,전국,1,남자,280,65 - 69세,2019 년,1177940
0,전국,1,남자,280,65 - 69세,2020 년,1271779.5
0,전국,1,남자,310,70 - 74세,2019 년,883751
0,전국,1,남자,310,70 - 74세,2020 년,934279.5
0,전국,1,남자,330,75 - 79세,2019 년,675845
0,전국,1,남자,330,75 - 79세,2020 년,682114.5
0,전국,1,남자,340,80세 이상,2019 년,577222.5
0,전국,1,남자,340,80세 이상,2020 년,627780.5
0,전국,1,남자,360,80 - 84세,2019 년,386770.5
0,전국,1,남자,360,80 - 84세,2020 년,413379.5
0,전국,1,남자,370,85세 이상,2019 년,190452
0,전국,1,남자,370,85세 이상,2020 년,214401
0,전국,1,남자,380,85 - 89세,2019 년,144408.5
0,전국,1,남자,380,85 - 89세,2020 년,163454
0,전국,1,남자,410,90 - 94세,2019 년,37636
0,전국,1,남자,410,90 - 94세,2020 년,42101.5
0,전국,1,남자,430,95 - 99세,2019 년,7672
0,전국,1,남자,430,95 - 99세,2020 년,7951
0,전국,1,남자,440,100세 이상,2019 년,735.5
0,전국,1,남자,440,100세 이상,2020 년,894.5
0,전국,2,여자,0,계,2019 년,25728081.5
0,전국,2,여자,0,계,2020 년,25743178.5
0,전국,2,여자,20,0 - 4세,2019 년,929971.5
0,전국,2,여자,20,0 - 4세,2020 년,857459.5
0,전국,2,여자,50,5 - 9세,2019 년,1130164.5
0,전국,2,여자,50,5 - 9세,2020 년,1122838
0,전국,2,여자,70,10 - 14세,2019 년,1117638
0,전국,2,여자,70,10 - 14세,2020 년,1122007.5
0,전국,2,여자,100,15 - 19세,2019 년,1306356.5
0,전국,2,여자,100,15 - 19세,2020 년,1225106.5
0,전국,2,여자,120,20 - 24세,2019 년,1594617
0,전국,2,여자,120,20 - 24세,2020 년,1562539
0,전국,2,여자,130,25 - 29세,2019 년,1619562.5
0,전국,2,여자,130,25 - 29세,2020 년,1652448.5
0,전국,2,여자,150,30 - 34세,2019 년,1523573
0,전국,2,여자,150,30 - 34세,2020 년,1506687.5
0,전국,2,여자,160,35 - 39세,2019 년,1941959.5
0,전국,2,여자,160,35 - 39세,2020 년,1852902
0,전국,2,여자,180,40 - 44세,2019 년,1897420
0,전국,2,여자,180,40 - 44세,2020 년,1901417.5
0,전국,2,여자,190,45 - 49세,2019 년,2204698
0,전국,2,여자,190,45 - 49세,2020 년,2156068
0,전국,2,여자,210,50 - 54세,2019 년,2111877
0,전국,2,여자,210,50 - 54세,2020 년,2147074
0,전국,2,여자,230,55 - 59세,2019 년,2122996.5
0,전국,2,여자,230,55 - 59세,2020 년,2092130
0,전국,2,여자,260,60 - 64세,2019 년,1823390.5
0,전국,2,여자,260,60 - 64세,2020 년,1925780
0,전국,2,여자,280,65 - 69세,2019 년,1265899.5
0,전국,2,여자,280,65 - 69세,2020 년,1363812.5
0,전국,2,여자,310,70 - 74세,2019 년,1018481
0,전국,2,여자,310,70 - 74세,2020 년,1066429
0,전국,2,여자,330,75 - 79세,2019 년,927400.5
0,전국,2,여자,330,75 - 79세,2020 년,920548
0,전국,2,여자,340,80세 이상,2019 년,1192076
0,전국,2,여자,340,80세 이상,2020 년,1267931
0,전국,2,여자,360,80 - 84세,2019 년,669394.5
0,전국,2,여자,360,80 - 84세,2020 년,697532
0,전국,2,여자,370,85세 이상,2019 년,522681.5
0,전국,2,여자,370,85세 이상,2020 년,570399
0,전국,2,여자,380,85 - 89세,2019 년,355210.5
0,전국,2,여자,380,85 - 89세,2020 년,386196.5
0,전국,2,여자,410,90 - 94세,2019 년,131582.5
0,전국,2,여자,410,90 - 94세,2020 년,145942
0,전국,2,여자,430,95 - 99세,2019 년,31397.5
0,전국,2,여자,430,95 - 99세,2020 년,33317.5
0,전국,2,여자,440,100세 이상,2019 년,4491
0,전국,2,여자,440,100세 이상,2020 년,4943
11,서울특별시,0,계,0,계,2019 년,9578974.5
11,서울특별시,0,계,0,계,2020 년,9533412
11,서울특별시,0,계,20,0 - 4세,2019 년,312470
11,서울특별시,0,계,20,0 - 4세,2020 년,285507
11,서울특별시,0,계,50,5 - 9세,2019 년,363167.5
11,서울특별시,0,계,50,5 - 9세,2020 년,356875.5
11,서울특별시,0,계,70,10 - 14세,2019 년,374188
11,서울특별시,0,계,70,10 - 14세,2020 년,369850.5
11,서울특별시,0,계,100,15 - 19세,2019 년,459374.5
11,서울특별시,0,계,100,15 - 19세,2020 년,427350
11,서울특별시,0,계,120,20 - 24세,2019 년,645905
11,서울특별시,0,계,120,20 - 24세,2020 년,631877.5
11,서울특별시,0,계,130,25 - 29세,2019 년,796730.5
11,서울특별시,0,계,130,25 - 29세,2020 년,816546
11,서울특별시,0,계,150,30 - 34세,2019 년,721278
11,서울특별시,0,계,150,30 - 34세,2020 년,719526
11,서울특별시,0,계,160,35 - 39세,2019 년,790734
11,서울특별시,0,계,160,35 - 39세,2020 년,756788
11,서울특별시,0,계,180,40 - 44세,2019 년,717153
11,서울특별시,0,계,180,40 - 44세,2020 년,714459
11,서울특별시,0,계,190,45 - 49세,2019 년,827942.5
11,서울특별시,0,계,190,45 - 49세,2020 년,801398.5
11,서울특별시,0,계,210,50 - 54세,2019 년,752927.5
11,서울특별시,0,계,210,50 - 54세,2020 년,762279.5
11,서울특별시,0,계,230,55 - 59세,2019 년,752147
11,서울특별시,0,계,230,55 - 59세,2020 년,732788
11,서울특별시,0,계,260,60 - 64세,2019 년,668847.5
11,서울특별시,0,계,260,60 - 64세,2020 년,689251
11,서울특별시,0,계,280,65 - 69세,2019 년,466086
11,서울특별시,0,계,280,65 - 69세,2020 년,496050
11,서울특별시,0,계,310,70 - 74세,2019 년,370201.5
11,서울특별시,0,계,310,70 - 74세,2020 년,385833.5
11,서울특별시,0,계,330,75 - 79세,2019 년,284616.5
11,서울특별시,0,계,330,75 - 79세,2020 년,289716.5
11,서울특별시,0,계,340,80세 이상,2019 년,275205.5
11,서울특별시,0,계,340,80세 이상,2020 년,297315.5
11,서울특별시,0,계,360,80 - 84세,2019 년,166758
11,서울특별시,0,계,360,80 - 84세,2020 년,178205.5
11,서울특별시,0,계,370,85세 이상,2019 년,108447.5
11,서울특별시,0,계,370,85세 이상,2020 년,119110
11,서울특별시,0,계,380,85 - 89세,2019 년,74381
11,서울특별시,0,계,380,85 - 89세,2020 년,81871.5
11,서울특별시,0,계,410,90 - 94세,2019 년,26780
11,서울특별시,0,계,410,90 - 94세,2020 년,29509.5
11,서울특별시,0,계,430,95 - 99세,2019 년,6436
11,서울특별시,0,계,430,95 - 99세,2020 년,6768.5
11,서울특별시,0,계,440,100세 이상,2019 년,850.5
11,서울특별시,0,계,440,100세 이상,2020 년,960.5
11,서울특별시,1,남자,0,계,2019 년,4675763.5
11,서울특별시,1,남자,0,계,2020 년,4642652.5
11,서울특별시,1,남자,20,0 - 4세,2019 년,160521
11,서울특별시,1,남자,20,0 - 4세,2020 년,146911.5
11,서울특별시,1,남자,50,5 - 9세,2019 년,186184.5
11,서울특별시,1,남자,50,5 - 9세,2020 년,182973.5
11,서울특별시,1,남자,70,10 - 14세,2019 년,192814.5
11,서울특별시,1,남자,70,10 - 14세,2020 년,190280.5
11,서울특별시,1,남자,100,15 - 19세,2019 년,236137.5
11,서울특별시,1,남자,100,15 - 19세,2020 년,219320.5
11,서울특별시,1,남자,120,20 - 24세,2019 년,314955.5
11,서울특별시,1,남자,120,20 - 24세,2020 년,303775.5
11,서울특별시,1,남자,130,25 - 29세,2019 년,394865.5
11,서울특별시,1,남자,130,25 - 29세,2020 년,402080.5
