시도명,시군구명,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상
전국,전국,51779203,1881548,2276617,2234015,2637341,3413656,3612505,3304679,3999744,3855403,4449226,4322368,4285702,3689408,2492232,1926601,1595168,1075010,511197,173427,38482,4874
서울특별시,종로구,154969,3565,4372,4740,9015,15242,14057,10753,10504,9846,12652,12323,12556,10726,7366,6101,5377,3461,1580,565,147,21
서울특별시,중구,130957,3968,3676,2951,5098,10762,12057,11034,10933,8810,9926,10291,10786,9870,6665,5286,4333,2692,1234,476,92,17
서울특별시,용산구,227181,8159,7702,7049,8722,15289,20431,19789,20216,16585,19022,17673,17272,15423,10344,8396,7180,4847,2141,725,194,22
서울특별시,성동구,299688,11452,10398,8974,11942,22964,26568,24647,26456,21640,24238,23687,24039,20801,13760,10870,8810,5273,2241,724,181,23
서울특별시,광진구,359766,10211,11392,11810,15873,31082,37355,30527,28970,25167,29148,28712,28433,24756,16022,12204,9273,5452,2355,804,188,32
서울특별시,동대문구,355094,10642,11244,10709,15364,35870,32550,25140,27295,24119,26980,26404,26995,25424,18196,14840,12064,7080,3010,913,229,26
서울특별시,중랑구,386331,11889,12722,12085,15376,23775,31201,28326,30538,26292,30929,33384,35584,31697,21561,16853,12770,7163,2927,985,233,41
서울특별시,성북구,445327,13767,16737,16752,24004,41700,36245,28703,32997,31566,38323,34359,32880,30064,21029,17447,14594,8902,3665,1299,267,27
서울특별시,강북구,303871,7766,9461,9885,12804,20200,22618,18756,21602,20834,25824,25310,26389,24633,18025,15698,12869,7302,2706,936,233,20
서울특별시,도봉구,323543,9185,11077,11481,15447,21299,22651,19403,22736,21622,27430,27835,29049,27529,18470,14546,11922,7181,3262,1119,268,31
서울특별시,노원구,522480,15325,19807,24001,32051,41209,35048,29778,35890,37997,49258,44860,42037,37500,25548,19651,15818,10034,4688,1568,362,50
서울특별시,은평구,461530,14470,16751,17385,21869,27888,34413,31221,36871,34139,40411,37344,37378,34572,24430,20445,16466,9857,3916,1375,299,30
서울특별시,서대문구,319394,9696,10510,10389,16127,33354,29777,21915,23282,21249,25370,24088,23621,21070,14587,12555,10755,7003,2836,966,206,38
서울특별시,마포구,369327,13006,13141,13091,15816,29685,36087,32214,33136,28687,31497,27012,25204,21889,14793,12696,10639,6669,2902,920,210,33
서울특별시,양천구,440354,13201,19101,23432,25774,27157,29182,26089,32025,34663,43431,39440,36506,31605,21513,15498,10824,6505,3074,1054,244,36
서울특별시,강서구,574097,20971,22443,20706,24423,32955,50078,48967,52180,43845,46027,42383,45340,42996,29173,21766,14687,8915,4226,1622,354,40
서울특별시,구로구,435560,15426,16224,14346,16547,23721,33061,33550,36930,32844,36697,35888,38244,35090,24449,18075,12823,7428,3001,976,223,17
서울특별시,금천구,249747,7379,7297,6869,8671,14393,22364,20001,19341,16710,20828,22722,24554,20803,13904,10052,7363,4057,1740,532,145,22
서울특별시,영등포구,394083,13962,12514,10914,12867,21097,35950,36743,34697,28438,32080,32356,34310,30549,19951,14932,11287,7119,3051,995,247,24
서울특별시,동작구,400368,12614,13427,12591,17219,33671,39268,32172,32181,28291,30908,29450,30760,28024,19812,16027,12267,7266,3083,1057,243,37
서울특별시,관악구,507828,12334,13029,12663,17942,42140,69742,49614,41154,33299,36876,35312,36810,33762,24987,20224,15311,8233,3120,1002,238,36
서울특별시,서초구,404960,14509,19678,20323,21377,23385,28936,29252,34016,34318,39364,31931,28272,26104,18587,15018,10094,5726,2636,1128,271,35
서울특별시,강남구,509199,14823,21071,25580,28841,29822,38842,38140,42611,42820,50261,41943,35466,32189,23510,18895,12433,6919,3298,1354,334,47
서울특별시,송파구,648600,24494,27386,27014,30762,38305,51785,52640,57621,50333,55111,51701,51092,46846,31885,22540,14626,8355,4151,1580,332,41
서울특별시,강동구,415287,14087,16482,16633,19293,24040,30972,29695,34656,31421,34859,33448,35659,33305,22644,16545,10881,6186,2943,1223,272,43
부산광역시,중구,41958,649,823,849,1395,2588,3264,2481,2601,2535,3221,3324,3802,4165,3218,2585,2200,1306,616,278,49,9
부산광역시,서구,105847,2441,3159,3139,4415,7238,7001,5347,6522,6351,7984,8096,9583,9802,7734,6293,5348,3390,1383,491,119,11
부산광역시,동구,85673,1954,2157,2133,3164,4547,5685,4903,5470,5200,6419,6678,7635,8213,6601,5507,4753,2945,1176,448,75,10
부산광역시,영도구,117959,2399,3221,3231,5814,9424,6741,5293,6578,6787,8630,9057,10676,11613,8995,7558,6300,3644,1435,463,84,16
부산광역시,부산진구,352390,10294,11898,11267,16306,25392,27190,22266,24993,23250,27277,27317,30488,29905,21798,16719,13525,7968,3345,983,189,20
부산광역시,동래구,260986,8355,10977,11266,12544,14933,16115,14192,18575,18969,22340,21854,22627,22008,16355,11935,9074,5329,2481,838,190,29
부산광역시,남구,278849,8308,10937,10748,15044,24247,18242,14285,18834,19453,22880,21312,22250,22272,16820,13331,10635,5916,2426,782,109,18
부산광역시,북구,285098,9360,10781,10890,13526,19457,19755,15830,18934,18617,22707,26354,28956,25070,16407,11351,8656,5193,2303,778,153,20
부산광역시,해운대구,392846,12522,16653,17467,21556,23078,23387,20288,27122,29306,36414,34656,34837,31681,21888,16379,12843,7973,3449,1118,210,19
부산광역시,사하구,319828,9860,12039,11724,15932,21447,21206,18052,23083,21338,25689,26783,29608,27922,19694,14361,10533,6363,2896,1053,221,24
부산광역시,금정구,244726,6083,7829,7989,12825,22540,17988,12530,14790,14539,18085,19712,22387,21232,15455,11803,9260,5693,2793,966,204,23
부산광역시,강서구,128809,9594,9545,5815,4071,5011,8089,11680,16811,11903,8793,7409,8342,8116,5263,3419,2521,1477,687,222,38,X
부산광역시,연제구,203959,7147,8016,7500,8884,12192,13368,12252,15338,14296,16515,16393,17462,17410,12817,9634,7524,4432,1932,689,137,21
부산광역시,수영구,170414,5039,5282,5169,6276,9739,13100,10956,12588,11205,13196,12820,14377,15350,11705,9316,7022,4338,2038,748,131,19
부산광역시,사상구,222618,6341,7434,6919,10253,17292,16339,13171,15121,13933,16651,19898,22891,20243,13703,9453,6721,3873,1667,581,115,19
부산광역시,기장군,160732,8304,10449,8398,7520,7015,8085,9448,15604,15132,14086,11054,10628,10492,8007,6257,4902,3129,1571,510,129,12
대구광역시,중구,75561,2771,2759,2189,2805,5204,6558,5264,5953,4917,5670,5466,5757,5504,4255,3728,3373,2084,923,300,74,7
대구광역시,동구,337439,12692,14381,12629,13973,18967,21550,20371,25517,24218,26662,27336,29378,27247,20546,15682,13153,8237,3560,1087,221,32
대구광역시,서구,175243,3732,4607,4818,7384,10877,12135,9109,10259,10336,13657,16503,18636,16468,12622,9116,7574,4626,1976,647,144,17
대구광역시,남구,147500,3249,3848,4107,6361,10610,10595,8284,9259,8925,11417,11864,13134,12954,9982,7957,7039,4707,2292,740,165,11
대구광역시,북구,446050,16063,19430,19995,26948,37439,30314,25081,31375,32834,41069,39625,37102,29210,19899,14653,12624,7739,3448,994,188,20
대구광역시,수성구,415283,11304,18844,23704,28163,27342,23891,17887,25061,31419,42034,39571,35104,28762,20191,14993,12849,8581,4119,1240,193,31
대구광역시,달서구,574390,18705,24491,25591,33843,43259,40290,32799,39795,41635,52055,53866,52382,40983,27102,18248,14526,9300,4098,1205,196,21
대구광역시,달성군,258474,15230,15127,11797,11725,13863,16661,19986,25514,21592,20836,20049,19944,16020,10389,7156,5719,4051,2027,657,120,11
인천광역시,중구,131863,5440,6424,5988,6509,6931,10633,9318,11636,11307,11622,9792,9209,8635,5865,4934,3684,2253,1105,449,111,18
인천광역시,동구,63003,1881,2477,2431,2643,3301,3409,3305,4608,4819,5253,4903,5294,5447,3976,3498,2821,1772,819,279,59,8
인천광역시,연수구,374413,16914,20536,19990,23720,26458,26827,25428,31549,30778,34594,31682,30579,21680,11541,8238,6339,4310,2236,803,186,25
인천광역시,남동구,533119,20252,25507,24326,25655,32019,39396,35446,45259,43306,47084,45633,45916,37105,23060,16867,12525,7927,3898,1535,355,48
인천광역시,부평구,514385,17691,20114,20497,24181,31944,39504,35497,40179,37143,44251,46855,48339,39118,23652,17210,13305,8887,4185,1439,349,45
인천광역시,계양구,298912,8963,11580,12366,15306,20753,23599,18593,21266,20851,26640,30065,31612,22401,11866,8373,6650,4646,2324,858,178,22
인천광역시,서구,540655,24302,29043,27335,27369,32318,38887,37917,48764,46024,49879,47860,44611,33179,18982,13357,9610,6493,3206,1210,275,34
인천광역시,미추홀구,411612,14009,15658,14754,19465,29945,31212,26964,32250,29679,33843,33172,34814,31567,20666,17023,13042,8166,3700,1348,292,43
인천광역시,강화군,65235,1379,1795,2059,2658,2368,2741,2337,2970,3175,4246,5028,6637,7193,5299,4922,4407,3420,1826,605,145,25
인천광역시,옹진군,19040,489,552,472,498,1154,1316,969,1074,1101,1265,1431,1985,2033,1379,1224,883,654,360,153,43,5
광주광역시,동구,103754,3186,3408,2974,5451,9836,7695,6204,6784,6135,7209,7437,8146,7934,6080,5492,4688,3009,1449,500,125,12
광주광역시,서구,298033,9964,13425,14515,17204,21161,21377,17319,21977,22873,28108,26662,24028,19590,12946,10523,8014,4977,2354,811,178,27
광주광역시,남구,217972,7442,10517,10582,12809,15537,13413,11274,15751,15977,18027,17314,17373,15865,11270,9557,7408,4632,2269,764,164,27
광주광역시,북구,446661,16027,19383,19677,26611,37348,32959,26466,32451,31798,37414,37609,36732,30115,20131,16208,12381,7837,3934,1281,263,36
광주광역시,광산구,423310,18593,25242,25684,28627,33812,29156,25911,36398,38075,42315,35576,27832,19116,11357,9268,7498,5137,2592,911,187,23
대전광역시,동구,237273,7196,9121,9334,15249,23372,15608,12201,15765,15888,18451,18192,19064,17549,12655,9837,8518,5461,2645,941,203,23
대전광역시,중구,234995,7087,9501,10151,12509,14774,15160,12221,15512,16843,20249,19908,19701,18325,13399,10987,8850,5960,2726,907,206,19
대전광역시,서구,480920,17893,22170,23130,29561,38481,37232,31315,36275,36031,43006,40428,37777,31069,19738,13753,10653,7264,3579,1244,277,44
대전광역시,유성구,366544,17212,19813,18517,22988,33040,30783,27679,31261,29192,31737,28204,25407,19412,11114,7185,5649,4075,2229,842,189,16
대전광역시,대덕구,179107,5128,6842,7611,10321,14695,12382,9567,11320,12343,16029,17005,16473,13693,8674,6283,5208,3416,1540,444,122,11
울산광역시,중구,219428,7873,10253,9551,10681,12620,14159,12420,16310,15941,19247,21160,21202,17801,11714,7759,5718,3207,1324,413,65,10
울산광역시,남구,322135,11188,13540,13992,16929,23047,23603,19984,23721,22964,30201,32482,30314,23776,14650,9216,6368,3710,1736,578,127,9
울산광역시,동구,162104,7363,9091,7722,7835,8517,10061,11692,15758,13350,12873,12835,14376,12928,7696,4647,2793,1535,726,243,60,X
울산광역시,북구,213524,12378,13779,11967,11279,11844,14089,15221,20871,18811,18579,20291,17532,10960,6035,3889,2886,1832,912,287,77,5
울산광역시,울주군,226501,8557,10629,10820,11890,14117,14631,13148,16695,17428,21487,21503,19704,16137,10139,7022,5814,3904,2014,726,121,15
세종시,세종시,338136,21785,24398,21380,17841,20804,20867,25627,35451,32778,29517,22016,19389,16003,10237,7160,5793,4045,2154,745,125,21
경기도,수원시,1214986,48932,57128,55850,66045,87552,100619,89557,102824,98501,110074,105898,97235,71114,42578,31033,23779,15625,7337,2649,586,70
경기도,장안구,282288,8656,11791,13402,17342,23784,22181,16162,19259,21203,26419,26370,23719,17664,10954,8449,6865,4728,2266,865,187,22
경기도,권선구,374770,16941,18314,15911,17440,23795,29601,28720,34518,30214,32260,33144,31800,23604,13908,9779,7063,4642,2188,756,149,23
경기도,팔달구,189052,5262,5983,6271,8216,12178,16187,14226,14441,13922,17009,17316,17764,14208,9095,6638,5155,3191,1361,495,125,9
경기도,영통구,368876,18073,21040,20266,23047,27795,32650,30449,34606,33162,34386,29068,23952,15638,8621,6167,4696,3064,1522,533,125,16
경기도,성남시,919895,31739,38681,39714,46131,56635,68939,64321,73050,71199,85453,79566,77333,64629,41024,31546,23896,15327,7262,2750,627,73
경기도,수정구,241256,7870,8446,7798,10260,16724,18917,17028,19136,17672,20402,20717,22129,18972,12626,9341,6849,3953,1645,620,138,13
경기도,중원구,216005,6629,7480,7678,9547,13619,17122,15025,16885,15362,18461,19338,20302,17297,11068,8316,6088,3552,1538,549,131,18
경기도,분당구,462634,17240,22755,24238,26324,26292,32900,32268,37029,38165,46590,39511,34902,28360,17330,13889,10959,7822,4079,1581,358,42
경기도,의정부시,440357,15793,19295,19246,22594,28866,30797,25975,33246,32450,40247,39209,37656,30826,19807,16327,13486,8857,3964,1382,294,40
경기도,안양시,557339,19759,22631,24242,28888,36935,41083,37953,42032,40438,50321,50517,50808,41332,24731,17217,13162,8955,4472,1513,315,35
경기도,만안구,246200,8436,8538,8418,11303,17056,18810,16814,18408,16451,20054,22039,23753,20035,12560,8950,6894,4560,2184,748,172,17
경기도,동안구,311139,11323,14093,15824,17585,19879,22273,21139,23624,23987,30267,28478,27055,21297,12171,8267,6268,4395,2288,765,143,18
경기도,부천시,836751,29413,33861,33172,38921,54118,63649,58527,67180,61213,72066,74657,79668,65358,38257,25426,18969,12778,6456,2433,551,78
경기도,광명시,313462,11431,14481,15079,16676,18145,20438,20346,25369,25473,29280,27176,26112,22909,14478,10140,7734,4885,2379,732,169,30
경기도,평택시,521172,22759,26128,24937,26556,32704,39288,38630,45770,43887,47819,43989,39520,29854,18588,14347,12231,8775,3788,1276,284,42
경기도,동두천시,96541,3021,4076,4139,5233,5755,5897,5195,6473,6785,8214,8126,7997,7159,4824,4490,4246,2945,1318,521,105,22
경기도,안산시,714650,23281,27371,29724,39309,54175,59855,50375,54220,54561,69730,72639,65167,44645,23966,16285,13218,9504,4593,1626,359,47
경기도,상록구,356620,11385,13765,15089,20709,29489,29715,22469,25115,26232,34441,36286,32256,22123,12081,8930,7541,5311,2551,881,220,31
경기도,단원구,358030,11896,13606,14635,18600,24686,30140,27906,29105,28329,35289,36353,32911,22522,11885,7355,5677,4193,2042,745,139,16
경기도,고양시,1024645,37009,46070,47198,53762,62954,72213,62250,76174,79305,101101,96698,89996,67254,38496,31558,28139,20479,9814,3329,743,103
경기도,덕양구,448571,17592,20482,18805,20976,26723,31275,28880,35802,34752,41030,39954,38920,30719,18713,15535,13353,9183,4141,1395,304,37
