,시군구코드,시도명,시군구명,2019_총인구,2020_총인구
0,11010,서울특별시,종로구,154969,151291
1,11020,서울특별시,중구,130957,128744
2,11030,서울특별시,용산구,227181,225882
3,11040,서울특별시,성동구,299688,291918
4,11050,서울특별시,광진구,359766,353967
5,11060,서울특별시,동대문구,355094,351057
6,11070,서울특별시,중랑구,386331,385663
7,11080,서울특별시,성북구,445327,438833
8,11090,서울특별시,강북구,303871,299535
9,11100,서울특별시,도봉구,323543,315979
10,11110,서울특별시,노원구,522480,511982
11,11120,서울특별시,은평구,461530,463102
12,11130,서울특별시,서대문구,319394,317209
13,11140,서울특별시,마포구,369327,365612
14,11150,서울특별시,양천구,440354,439068
15,11160,서울특별시,강서구,574097,564854
16,11170,서울특별시,구로구,435560,435442
17,11180,서울특별시,금천구,249747,249419
18,11190,서울특별시,영등포구,394083,403619
19,11200,서울특별시,동작구,400368,392772
20,11210,서울특별시,관악구,507828,502641
21,11220,서울특별시,서초구,404960,401749
22,11230,서울특별시,강남구,509199,508135
23,11240,서울특별시,송파구,648600,643288
24,11250,서울특별시,강동구,415287,444434
25,21010,부산광역시,중구,41958,41439
26,21020,부산광역시,서구,105847,105303
27,21030,부산광역시,동구,85673,87246
28,21040,부산광역시,영도구,117959,113224
29,21050,부산광역시,부산진구,352390,351403
30,21060,부산광역시,동래구,260986,263345
31,21070,부산광역시,남구,278849,269111
32,21080,부산광역시,북구,285098,280177
33,21090,부산광역시,해운대구,392846,389535
34,21100,부산광역시,사하구,319828,312057
35,21110,부산광역시,금정구,244726,237219
36,21120,부산광역시,강서구,128809,136734
37,21130,부산광역시,연제구,203959,204947
38,21140,부산광역시,수영구,170414,171461
39,21150,부산광역시,사상구,222618,216350
40,21310,부산광역시,기장군,160732,169465
41,22010,대구광역시,중구,75561,74278
42,22020,대구광역시,동구,337439,333294
43,22030,대구광역시,서구,175243,170437
44,22040,대구광역시,남구,147500,145588
45,22050,대구광역시,북구,446050,446466
46,22060,대구광역시,수성구,415283,412912
47,22070,대구광역시,달서구,574390,566712
48,22310,대구광역시,달성군,258474,261013
49,23010,인천광역시,중구,131863,138586
50,23020,인천광역시,동구,63003,61285
51,23090,인천광역시,미추홀구,411612,405886
52,23040,인천광역시,연수구,374413,390260
53,23050,인천광역시,남동구,533119,528927
54,23060,인천광역시,부평구,514385,500812
55,23070,인천광역시,계양구,298912,292852
56,23080,인천광역시,서구,540655,541534
57,23310,인천광역시,강화군,65235,66020
58,23320,인천광역시,옹진군,19040,19292
59,24010,광주광역시,동구,103754,106005
60,24020,광주광역시,서구,298033,294854
61,24030,광주광역시,남구,217972,214860
62,24040,광주광역시,북구,446661,439352
63,24050,광주광역시,광산구,423310,422502
64,25010,대전광역시,동구,237273,232559
65,25020,대전광역시,중구,234995,231959
66,25030,대전광역시,서구,480920,478629
67,25040,대전광역시,유성구,366544,368895
68,25050,대전광역시,대덕구,179107,176393
69,26010,울산광역시,중구,219428,214147
70,26020,울산광역시,남구,322135,320175
71,26030,울산광역시,동구,162104,159000
72,26040,울산광역시,북구,213524,217051
73,26310,울산광역시,울주군,226501,225050
74,29010,세종시,세종시,338136,353933
75,31010,경기도,수원시,1214986,1210150
76,31020,경기도,성남시,919895,922025
77,31030,경기도,의정부시,440357,449572
78,31040,경기도,안양시,557339,542336
79,31050,경기도,부천시,836751,833148
80,31060,경기도,광명시,313462,298116
81,31070,경기도,평택시,521172,542522
82,31080,경기도,동두천시,96541,95239
83,31090,경기도,안산시,714650,717345
84,31100,경기도,고양시,1024645,1045497
85,31110,경기도,과천시,53830,58018
86,31120,경기도,구리시,192270,192051
87,31130,경기도,남양주시,681077,696033
88,31140,경기도,오산시,233998,240645
89,31150,경기도,시흥시,508749,535147
90,31160,경기도,군포시,275154,275571
91,31170,경기도,의왕시,155826,160230
92,31180,경기도,하남시,260544,279795
93,31190,경기도,용인시,1052529,1066975
94,31200,경기도,파주시,454328,460541
95,31210,경기도,이천시,222995,226212
96,31220,경기도,안성시,202284,203030
97,31230,경기도,김포시,442910,474546
98,31240,경기도,화성시,838635,880859
99,31250,경기도,광주시,375238,385141
100,31260,경기도,양주시,224684,233286
101,31270,경기도,포천시,159871,157939
102,31280,경기도,여주시,111981,113352
103,31350,경기도,연천군,42540,42278
