SIG_CD,시군구명,2019_노인청소년_예산,"2020_노인,청소년_예산",예산변화량,2019_전체예산,2020_전체예산,2019_노인1인인구,2020_노인1인인구,2019_노인인구,2020_노인인구,총복지시설,노인주거복지시설,노인의료복지시설,노인여가복지시설,재가노인복지시설,노인일자리 지원기관,학대피해노인전용쉼터,치매전담형 장기요양기관,총 종사자수,노인주거복지시설 종사자수,노인의료복지시설 종사자수,노인여가복지시설 종사자수,재가노인복지시설 종사자수,노인일자리 지원기관 종사자수,치매전담형 장기요양기관 종사자수
서울특별시,종로구,57821,66194,8373,529565,644867,4542,4897,26572,27318,95,1,10,76,6,1,0,1,462,14,261,107,66,6,8
서울특별시,중구,65016,74703,9687,524387,666269,4219,4526,21750,22974,71,2,3,53,13,0,0,0,332,62,68,62,140,0,0
서울특별시,용산구,68308,77525,9217,519788,686515,6163,6395,37212,38346,123,1,4,111,7,0,0,0,283,15,138,42,88,0,0
서울특별시,성동구,79192,87622,8430,599471,815446,6912,7361,42629,43796,205,0,6,179,20,0,0,0,595,0,254,82,259,0,0
서울특별시,광진구,80799,98774,17975,606302,871393,7605,8200,45432,47681,155,2,20,108,24,1,0,0,829,76,371,63,308,11,0
서울특별시,동대문구,120482,138947,18465,682144,936053,10434,11072,56991,59170,214,0,26,152,36,0,0,0,733,0,251,45,437,0,0
서울특별시,중랑구,134055,156466,22411,800602,1084153,11877,13280,61748,65065,274,0,46,142,85,0,0,1,1763,0,696,136,930,0,1
서울특별시,성북구,147057,169095,22038,804451,1109304,10936,11771,67646,70699,236,1,21,190,23,1,0,0,970,29,507,121,307,6,0
서울특별시,강북구,141106,164213,23107,686430,926014,11631,12704,58103,60474,183,0,32,117,32,0,0,2,886,0,455,35,385,0,11
서울특별시,도봉구,132978,149088,16110,666056,907582,9858,10706,55926,58664,247,3,56,149,37,1,1,0,1112,10,744,112,230,16,0
서울특별시,노원구,207660,234701,27041,1028597,1408433,16299,17738,77032,80854,340,2,32,264,41,1,0,0,1359,33,664,138,518,6,0
서울특별시,은평구,177001,201939,24938,849865,1167115,12673,14020,77263,80567,251,2,22,180,42,1,0,4,1294,16,631,167,447,6,27
서울특별시,서대문구,111611,132447,20836,638072,859563,8338,8899,50045,51645,171,0,18,126,26,1,0,0,570,0,306,40,219,5,0
서울특별시,마포구,127642,154825,27183,712190,961935,7948,8569,50544,52104,205,1,4,173,26,1,0,0,656,24,214,70,335,13,0
서울특별시,양천구,125868,143077,17209,756790,1016112,9745,10847,57941,61147,318,1,22,197,96,1,0,1,2236,3,497,69,1650,10,7
서울특별시,강서구,175531,202306,26775,1020690,1378771,14836,16294,79445,83839,333,3,30,251,47,1,0,1,1589,138,666,55,718,6,6
서울특별시,구로구,137032,166112,29080,753070,1050802,9795,10819,61105,64932,261,0,17,219,24,0,0,1,857,0,555,38,261,0,3
