시군구코드,시도명,시군구명,2019_노인청소년_예산,2020_노인청소년_예산,2019_전체예산,2020_전체예산,2019_총인구,2020_총인구,2019_노인인구,2020_노인인구,예산인구평가지표,스케일링된 민맥스,LHIi,LMIi,LLIi,LSIi,복지서비스평가지표,복지민맥,종합평점
31100,경기도,고양시,309926,359683,2935226,3474097,1024645,1045497,126572,135272,-0.0546,55.68245911,3.140787521,6.109330073,2.883547356,0.531228397,12.66489335,100.0000207,71.53338089
38030,경상남도,진주시,136255,172358,1778405,1857630,354166,352403,53260,55899,0.0755,74.02707276,0.687180006,1.118358921,2.739270707,1.814546965,6.359356599,61.10394146,66.94756117
31190,경기도,용인시,243498,272537,2742517,3238717,1052529,1066975,125066,133817,-0.0762,52.63677383,1.774306891,3.907960361,3.001382878,2.632478289,11.31612842,91.68008382,66.87706364
31010,경기도,수원시,319030,360022,3143831,3678019,1214986,1210150,117256,123647,-0.0935,50.19740553,4.757532697,2.59194551,3.138880432,0.688926737,11.17728538,90.82362225,64.65858701
35030,전라북도,익산시,174702,212776,1440110,1607367,290119,285312,51541,53525,0.0228,66.59616469,3.192069983,0.772546708,1.411788665,0.994527328,6.370932684,61.17534923,63.7707656
33020,충청북도,충주시,127376,144244,1281536,1533258,216446,218412,38138,39811,-0.048,56.61308517,0.534982243,3.293411548,2.840587749,1.518830485,8.187812025,72.38287771,63.53405067
31130,경기도,남양주시,243334,268044,2009727,2389669,681077,696033,86681,93007,-0.1119,47.60293288,1.316063977,4.570164611,0.588401671,4.680703126,11.15533338,90.68821003,62.43385779
32010,강원도,춘천시,112470,159620,1523511,1655242,284753,284645,45532,47645,0.1144,79.51212634,0.339299403,1.459593371,0.678250843,2.218548567,4.695692185,50.84152838,62.02385405
31240,경기도,화성시,252676,271693,3037767,3544893,838635,880859,63520,69434,-0.1259,45.62887761,2.423283777,1.970025502,1.471337037,4.213476956,10.07812327,84.04337528,59.14611336
31020,경기도,성남시,325804,362723,3313459,4062083,919895,922025,120100,125807,-0.0987,49.464185,3.751228199,1.211315229,1.935494462,0.972736808,7.870774698,70.42721407,58.11300515
31070,경기도,평택시,152118,176601,2249718,2439653,521172,542522,58483,61910,0.0318,67.86520023,0.76635277,0.758191935,1.225654058,1.688310542,4.438509305,49.25508046,57.08158959
34010,충청남도,천안시,178223,204554,2282410,2675034,679743,682199,63526,67177,-0.059,55.06204174,1.59091958,1.4292933,1.231812044,1.700268295,5.95229322,58.59294675,56.77264716
31030,경기도,의정부시,179123,205245,1478056,1620142,440357,449572,61413,65272,0.0036,63.88888889,0.0644438,2.958695106,0.957364898,0.448411646,4.428915449,49.19590018,55.58787219
35010,전라북도,전주시,238047,277867,1929566,2354178,662086,666517,88563,93161,-0.0778,52.41116751,0.708922544,0.603575136,1.99412731,2.327017062,5.633642052,56.62732803,54.43773523
35060,전라북도,김제시,94236,110706,981422,1046500,80422,79733,25257,25650,0.0231,66.63846588,2.618966616,-0.265627267,1.446880804,0.006859225,3.807079378,45.36006732,53.97794439
31050,경기도,부천시,264940,305555,2165739,2673918,836751,833148,97670,104089,-0.1334,44.571348,-0.702692783,3.744782813,3.214461017,1.1166238,7.373174846,67.35773973,53.64513048
31270,경기도,포천시,84944,98329,1144183,1120121,159871,157939,26306,27615,0.0509,70.55837563,2.597224078,1.208728959,-0.084653252,-0.407099837,3.314199948,42.31971119,52.90681589
32030,강원도,강릉시,141151,158525,1353165,1295100,216357,216542,41214,43113,0.0672,72.85673999,-0.188669265,1.589529263,-0.131178118,1.388666824,2.658348704,38.27405371,50.18452018
31200,경기도,파주시,150587,171656,1701571,2044127,454328,460541,57889,60663,-0.057,55.34404963,0.975980761,2.289100713,0.214282406,0.247366982,3.726730862,44.86443271,49.55627174
32020,강원도,원주시,141420,169610,1517928,1865264,349319,352429,47200,49983,-0.0484,56.55668359,0.744610233,1.235899232,0.308871635,1.203389794,3.492770893,43.4212367,49.1260698
36020,전라남도,여수시,158993,175677,1762496,1574419,270283,271505,49609,51995,0.0912,76.24083474,0.780297921,0.136931307,0.672284709,0.669231865,2.258745803,35.8090794,48.73032033
31280,경기도,여주시,68427,84345,925284,1062126,111981,113352,21959,23068,0.0131,65.2284264,2.757219229,0.078723628,0.040912032,-0.125194707,2.751660182,38.84965112,48.69616482
23060,인천광역시,부평구,166594,198930,869317,988937,514385,500812,66424,69549,-0.0355,58.37563452,-0.362609567,2.61922604,-0.064124115,0.8682689,3.060761257,40.75635952,48.00021165
31220,경기도,안성시,87764,104914,1059912,1276266,202284,203030,29319,30729,-0.0282,59.40496334,2.221453174,0.82656424,0.280853006,-0.554928737,2.773941683,38.98709589,47.07751865
33030,충청북도,제천시,89865,100484,928228,1110601,136093,134768,26619,27790,-0.0562,55.45685279,1.909260259,0.793710201,1.292016667,-0.913715751,3.081271376,40.88287741,47.06751222
31150,경기도,시흥시,129528,143742,1908823,2173320,508749,535147,37552,41403,-0.0645,54.28652002,1.019465836,1.824512981,0.045841076,0.136978877,3.026798769,40.54685989,46.42137448
36030,전라남도,순천시,119306,135727,1374917,1509754,270202,272449,40542,42273,0.0011,63.53637902,0.744610233,0.160584166,1.026652655,0.35179088,2.283637934,35.96262799,45.92880334
31040,경기도,안양시,178131,197439,2206595,2008502,557339,542336,67680,71643,0.0794,74.57698816,-0.406094642,0.886265539,-0.1408985,1.465563377,1.804835774,33.00910833,45.76278835
23070,인천광역시,계양구,97592,117234,561725,667473,298912,292852,33119,35043,-0.1002,49.25267908,0.361041941,1.350885573,0.126645121,0.998366547,2.836939183,39.37569972,43.76383114
35020,전라북도,군산시,149040,176937,1432057,1582203,270635,269023,45913,48059,0.0125,65.14382403,0.194899026,0.359985015,0.729947887,0.46029605,1.745127978,32.64079724,43.49040419
23310,인천광역시,강화군,62054,69540,617553,647799,65235,66020,21148,21902,0.0136,65.29892837,2.227600938,0.328656896,-0.147367041,-0.846688638,1.562202154,31.51240839,42.51003172
35310,전라북도,완주군,13321,15478,713676,830407,96212,95834,19780,20438,-0.0034,62.90186125,1.614311741,-0.234732419,-0.003778923,0.024641822,1.400442222,30.51458261,41.09392227
36010,전라남도,목포시,114301,124321,1012394,1110526,228876,224509,34821,36087,-0.0456,56.95149464,-0.188669265,0.147994776,-0.073550082,1.617407535,1.503182963,31.14834499,40.27123796
26310,울산광역시,울주군,93945,134536,967005,1041271,226501,225050,28943,30586,0.1904,90.2284264,0.129671413,-0.033967155,0.216167599,0.298611791,0.610483648,25.64167607,39.93451344
31230,경기도,김포시,120548,139432,1607131,1847624,442910,474546,48532,52278,0.0005,63.45177665,-0.044268888,0.681452688,0.251986274,0.286800736,1.17597081,29.12991733,39.92895202
25020,대전광역시,중구,103728,125244,491062,612849,234995,231959,41625,43648,-0.1065,48.3643542,0.295814328,0.057560136,0.326200212,1.219084079,1.898658754,33.58786098,39.64396085
11070,서울특별시,중랑구,134055,156466,800602,1084153,386331,385663,61748,65065,-0.1922,36.28031585,-0.702692783,0.606834139,0.544988077,2.997266185,3.446395617,43.13516805,39.41189915
35040,전라북도,정읍시,108891,123604,1023089,1070843,107348,106706,28804,29490,0.021,66.34235759,-0.340867029,-0.333999572,1.773835091,-0.174483232,0.924485258,27.57861371,38.96105902
31380,경기도,양평군,75016,75357,780241,962153,111836,113844,26902,28448,-0.0863,51.21263395,0.997723298,0.322811622,0.279832055,-0.058196934,1.542170042,31.38883911,38.92194819
34040,충청남도,아산시,113775,126848,1460445,1602700,347032,340518,38206,40045,-0.0346,58.50253807,0.042701262,0.334372964,0.562441084,0.188245691,1.127761001,28.83253225,38.62769697
37010,경상북도,포항시,222397,258450,2238200,2487240,502064,501109,77024,82001,-0.0127,61.59052453,0.238384102,0.386399003,0.644474071,-0.310501076,0.958756099,27.79001544,38.29920088
